,Provincias,Ramas de actividad,Año,Total
1212,44,Impuestos netos sobre los productos,2021,329613
1213,44,Impuestos netos sobre los productos,2020,271165
1214,44,Impuestos netos sobre los productos,2019,315881
1236,45,Valor añadido bruto total,2021,11995787
1237,45,Valor añadido bruto total,2020,11180006
1238,45,Valor añadido bruto total,2019,11947738
1239,45,Impuestos netos sobre los productos,2021,1263055
1240,45,Impuestos netos sobre los productos,2020,1072182
1241,45,Impuestos netos sobre los productos,2019,1225786
1263,46,Valor añadido bruto total,2021,55560533
1264,46,Valor añadido bruto total,2020,51598752
1265,46,Valor añadido bruto total,2019,56373811
1266,46,Impuestos netos sobre los productos,2021,5850056
1267,46,Impuestos netos sobre los productos,2020,4948414
1268,46,Impuestos netos sobre los productos,2019,5783707
1290,47,Valor añadido bruto total,2021,12932236
1291,47,Valor añadido bruto total,2020,12356410
1292,47,Valor añadido bruto total,2019,13273349
1293,47,Impuestos netos sobre los productos,2021,1361656
1294,47,Impuestos netos sobre los productos,2020,1185001
1295,47,Impuestos netos sobre los productos,2019,1361788
1317,49,Valor añadido bruto total,2021,3241021
1318,49,Valor añadido bruto total,2020,2944312
1319,49,Valor añadido bruto total,2019,3187453
1320,49,Impuestos netos sobre los productos,2021,341252
1321,49,Impuestos netos sobre los productos,2020,282365
1322,49,Impuestos netos sobre los productos,2019,327019
1344,50,Valor añadido bruto total,2021,25239489
1345,50,Valor añadido bruto total,2020,23857782
1346,50,Valor añadido bruto total,2019,25535738
1347,50,Impuestos netos sobre los productos,2021,2657505
1348,50,Impuestos netos sobre los productos,2020,2288004
1349,50,Impuestos netos sobre los productos,2019,2619856
1371,51,Valor añadido bruto total,2021,1597008
1372,51,Valor añadido bruto total,2020,1510325
1373,51,Valor añadido bruto total,2019,1609771
1374,51,Impuestos netos sobre los productos,2021,168151
1375,51,Impuestos netos sobre los productos,2020,144843
1376,51,Impuestos netos sobre los productos,2019,165156
1398,52,Valor añadido bruto total,2021,1462549
1399,52,Valor añadido bruto total,2020,1381519
1400,52,Valor añadido bruto total,2019,1473873
1401,52,Impuestos netos sobre los productos,2021,153994
1402,52,Impuestos netos sobre los productos,2020,132490
1403,52,Impuestos netos sobre los productos,2019,151213
